id,name,eserviceName,producerName,subscribersCount
9,Scuole,service-catalogue_SDG,Agenzia per L'Italia Digitale,0
9,Scuole,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
9,Scuole,POLIZIA MUNICIPALE - Posizioni debitorie aperte,Comune di Porto Torres,0
9,Scuole,C010-servizioVerificaDichStatoLibero-approvazione_automatica,Ministero dell'Interno,0
10,Università e AFAM,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
10,Università e AFAM,C009-servizioVerificaDichStatoFamiglia-approvazione_automati,Ministero dell'Interno,1
10,Università e AFAM,Consultazione ISEE - v1,Istituto Nazionale Previdenza Sociale - INPS,1
10,Università e AFAM,ANIS - Consultazione Titoli [IFS03],MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,1
10,Università e AFAM,Consultazione Attestazione ISEE,Istituto Nazionale Previdenza Sociale - INPS,1
10,Università e AFAM,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
10,Università e AFAM,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
10,Università e AFAM,Dati storici del cittadino,Comune di Crotta d'Adda,0
10,Università e AFAM,service-catalogue_SDG,Agenzia per L'Italia Digitale,0
10,Università e AFAM,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
11,Istituti di Ricerca,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
11,Istituti di Ricerca,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,Dati storici del cittadino,Comune di Crotta d'Adda,0
11,Istituti di Ricerca,service-catalogue_SDG,Agenzia per L'Italia Digitale,0
11,Istituti di Ricerca,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
11,Istituti di Ricerca,APICIG,Autorita' Nazionale Anticorruzione - A.N.AC.,0
11,Istituti di Ricerca,POLIZIA MUNICIPALE - Posizioni debitorie aperte,Comune di Porto Torres,0
11,Istituti di Ricerca,C010-servizioVerificaDichStatoLibero-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,C023-servizioAccertamentoVedovanza-approvazione_automatica,Ministero dell'Interno,0
11,Istituti di Ricerca,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
12,Stazioni Appaltanti e Gestori di pubblici servizi,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP - FVA,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP - FVC,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP – CodeList,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP - Gestione utenti,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,7
12,Stazioni Appaltanti e Gestori di pubblici servizi,PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,7
