id,name,count,producerName
4,Enti Nazionali di Previdenza ed Assistenza Sociale,176.0,Istituto Nazionale Previdenza Sociale - INPS
5,Province e Città Metropolitane,1.0,Provincia di Rovigo
5,Province e Città Metropolitane,1.0,Provincia di Vicenza
5,Province e Città Metropolitane,1.0,Provincia di Parma
5,Province e Città Metropolitane,1.0,Citta' Metropolitana di Milano
5,Province e Città Metropolitane,1.0,Provincia di Mantova
5,Province e Città Metropolitane,1.0,Provincia di Monza e della Brianza
5,Province e Città Metropolitane,1.0,Provincia di Modena
5,Province e Città Metropolitane,1.0,Citta' Metropolitana di Genova
5,Province e Città Metropolitane,2.0,Provincia di Brescia
5,Province e Città Metropolitane,2.0,Citta' Metropolitana di Venezia
6,Altre Pubbliche Amministrazioni Centrali,1.0,Consiglio Nazionale Forense
6,Altre Pubbliche Amministrazioni Centrali,1.0,Automobile Club d'Italia
6,Altre Pubbliche Amministrazioni Centrali,4.0,Ispettorato Nazionale del Lavoro
6,Altre Pubbliche Amministrazioni Centrali,6.0,Federazione Nazionale degli Ordini dei Medici Chirurghi e degli Odontoiatri
6,Altre Pubbliche Amministrazioni Centrali,6.0,Agenzia per le Erogazioni in Agricoltura - AGEA
6,Altre Pubbliche Amministrazioni Centrali,14.0,Istituto Superiore per la Protezione e la Ricerca Ambientale
7,Regioni e Province Autonome,37.0,Regione Toscana
7,Regioni e Province Autonome,37.0,Regione Emilia-Romagna
7,Regioni e Province Autonome,38.0,Regione Puglia
7,Regioni e Province Autonome,38.0,Regione del Veneto
7,Regioni e Province Autonome,40.0,Provincia Autonoma di Trento
7,Regioni e Province Autonome,43.0,Regione Piemonte
7,Regioni e Province Autonome,47.0,Regione Autonoma Friuli-Venezia Giulia
7,Regioni e Province Autonome,57.0,Regione Liguria
7,Regioni e Province Autonome,58.0,Regione Lombardia
7,Regioni e Province Autonome,79.0,Regione Lazio
8,Scuole,,
9,Stazioni Appaltanti e Gestori di pubblici servizi,1.0,Trentino Digitale S.p.a.
9,Stazioni Appaltanti e Gestori di pubblici servizi,2.0,MEDIO CHIAMPO SPA
9,Stazioni Appaltanti e Gestori di pubblici servizi,3.0,"INFRASTRUTTURE E TELECOMUNICAZIONI PER L'ITALIA S.P.A IN FORMA ABBREVIATA ""INFRATEL ITALIA S.P.A."""
9,Stazioni Appaltanti e Gestori di pubblici servizi,4.0,Istituto Poligrafico e Zecca dello Stato S.P.A.
9,Stazioni Appaltanti e Gestori di pubblici servizi,4.0,PagoPa S.p.A.
9,Stazioni Appaltanti e Gestori di pubblici servizi,6.0,GEROPA SRL
9,Stazioni Appaltanti e Gestori di pubblici servizi,11.0,Molise Dati Societa' Informatica Molisana Spa
10,Università e AFAM,9.0,Universita' degli Studi di Modena e Reggio Emilia
10,Università e AFAM,9.0,Universita' degli Studi di Palermo
10,Università e AFAM,9.0,Accademia di Belle Arti Reggio Calabria
10,Università e AFAM,9.0,Universita' degli Studi di Bergamo
10,Università e AFAM,10.0,Conservatorio di Musica Giuseppe Verdi di Milano
10,Università e AFAM,11.0,Universita Degli Studi di Milano
10,Università e AFAM,12.0,Alma Mater Studiorum - Universita' di Bologna
10,Università e AFAM,14.0,Issm Toscanini Ribera
10,Università e AFAM,16.0,Universita' degli Studi di Foggia
10,Università e AFAM,18.0,Universita' degli Studi di Parma
11,Enti privati,,
12,Pubbliche Amministrazioni Centrali,10.0,Agenzia del Demanio
12,Pubbliche Amministrazioni Centrali,13.0,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA
12,Pubbliche Amministrazioni Centrali,23.0,Istituto centrale per la digitalizzazione del patrimonio culturale - Digital Library - Ministero della Cultura
12,Pubbliche Amministrazioni Centrali,24.0,Dipartimento della Funzione Pubblica
12,Pubbliche Amministrazioni Centrali,33.0,Autorita' Nazionale Anticorruzione - A.N.AC.
12,Pubbliche Amministrazioni Centrali,34.0,Agenzia delle Entrate
12,Pubbliche Amministrazioni Centrali,53.0,Agenzia per L'Italia Digitale
12,Pubbliche Amministrazioni Centrali,67.0,Ministero delle infrastrutture e dei trasporti
12,Pubbliche Amministrazioni Centrali,68.0,Ministero dell'Interno
12,Pubbliche Amministrazioni Centrali,107.0,Ministero del Lavoro e delle Politiche Sociali
